ORIGIN|TYPE|TARGET
T001|interacts_with|T002
T001|interacts_with|T004
T001|interacts_with|T005
T001|interacts_with|T007
T001|interacts_with|T008
T001|interacts_with|T010
T001|interacts_with|T011
T001|interacts_with|T012
T001|interacts_with|T013
T001|interacts_with|T014
T001|interacts_with|T015
T001|interacts_with|T016
T001|isa|T071
T001|isa|T072
T001|issue_in|T090
T001|issue_in|T091
T001|interacts_with|T194
T001|interacts_with|T204
T002|isa|T001
T002|interacts_with|T004
T002|interacts_with|T005
T002|interacts_with|T007
T002|interacts_with|T008
T002|interacts_with|T010
T002|interacts_with|T011
T002|interacts_with|T012
T002|interacts_with|T013
T002|interacts_with|T014
T002|interacts_with|T015
T002|interacts_with|T016
T002|isa|T071
T002|isa|T072
T002|issue_in|T090
T002|issue_in|T091
T002|location_of|T123
T002|location_of|T125
T002|location_of|T126
T002|location_of|T127
T002|location_of|T129
T002|location_of|T192
T002|interacts_with|T194
T002|interacts_with|T204
T002|isa|T204
T004|isa|T001
T004|interacts_with|T005
T004|interacts_with|T007
T004|interacts_with|T008
T004|interacts_with|T010
T004|interacts_with|T011
T004|interacts_with|T012
T004|interacts_with|T013
T004|interacts_with|T014
T004|interacts_with|T015
T004|interacts_with|T016
T004|causes|T046
T004|causes|T047
T004|causes|T048
T004|causes|T049
T004|causes|T050
T004|isa|T071
T004|isa|T072
T004|issue_in|T090
T004|issue_in|T091
T004|location_of|T123
T004|location_of|T125
T004|location_of|T126
T004|location_of|T127
T004|location_of|T129
T004|causes|T191
T004|location_of|T192
T004|interacts_with|T194
T004|interacts_with|T204
T004|isa|T204
T005|isa|T001
T005|interacts_with|T007
T005|interacts_with|T008
T005|interacts_with|T010
T005|interacts_with|T011
T005|interacts_with|T012
T005|interacts_with|T013
T005|interacts_with|T014
T005|interacts_with|T015
T005|interacts_with|T016
T005|causes|T046
T005|causes|T047
T005|causes|T048
T005|causes|T049
T005|causes|T050
T005|isa|T071
T005|isa|T072
T005|issue_in|T090
T005|issue_in|T091
T005|location_of|T123
T005|associated_with|T123
T005|location_of|T125
T005|associated_with|T125
T005|location_of|T126
T005|associated_with|T126
T005|location_of|T127
T005|associated_with|T127
T005|location_of|T129
T005|associated_with|T129
T005|causes|T191
T005|location_of|T192
T005|associated_with|T192
T005|interacts_with|T194
T005|interacts_with|T204
T007|isa|T001
T007|interacts_with|T008
T007|interacts_with|T010
T007|interacts_with|T011
T007|interacts_with|T012
T007|interacts_with|T013
T007|interacts_with|T014
T007|interacts_with|T015
T007|interacts_with|T016
T007|causes|T046
T007|causes|T047
T007|causes|T048
T007|causes|T049
T007|causes|T050
T007|isa|T071
T007|isa|T072
T007|issue_in|T090
T007|issue_in|T091
T007|location_of|T123
T007|location_of|T125
T007|location_of|T126
T007|location_of|T127
T007|location_of|T129
T007|causes|T191
T007|location_of|T192
T007|interacts_with|T194
T007|interacts_with|T204
T008|isa|T001
T008|interacts_with|T010
T008|interacts_with|T011
T008|interacts_with|T012
T008|interacts_with|T013
T008|interacts_with|T014
T008|interacts_with|T015
T008|interacts_with|T016
T008|exhibits|T053
T008|exhibits|T054
T008|exhibits|T055
T008|isa|T071
T008|isa|T072
T008|issue_in|T090
T008|issue_in|T091
T008|interacts_with|T194
T008|interacts_with|T204
T008|isa|T204
T010|isa|T001
T010|isa|T008
T010|interacts_with|T011
T010|interacts_with|T012
T010|interacts_with|T013
T010|interacts_with|T014
T010|interacts_with|T015
T010|interacts_with|T016
T010|exhibits|T053
T010|exhibits|T054
T010|exhibits|T055
T010|isa|T071
T010|isa|T072
T010|issue_in|T090
T010|issue_in|T091
T010|interacts_with|T194
T010|interacts_with|T204
T010|isa|T204
T011|isa|T001
T011|isa|T008
T011|isa|T010
T011|interacts_with|T012
T011|interacts_with|T013
T011|interacts_with|T014
T011|interacts_with|T015
T011|interacts_with|T016
T011|exhibits|T053
T011|exhibits|T054
T011|exhibits|T055
T011|isa|T071
T011|isa|T072
T011|issue_in|T090
T011|issue_in|T091
T011|interacts_with|T194
T011|interacts_with|T204
T011|isa|T204
T012|isa|T001
T012|isa|T008
T012|isa|T010
T012|interacts_with|T013
T012|interacts_with|T014
T012|interacts_with|T015
T012|interacts_with|T016
T012|exhibits|T053
T012|exhibits|T054
T012|exhibits|T055
T012|isa|T071
T012|isa|T072
T012|issue_in|T090
T012|issue_in|T091
T012|interacts_with|T194
T012|interacts_with|T204
T012|isa|T204
T013|isa|T001
T013|isa|T008
T013|isa|T010
T013|interacts_with|T014
T013|interacts_with|T015
T013|interacts_with|T016
T013|exhibits|T053
T013|exhibits|T054
T013|exhibits|T055
T013|isa|T071
T013|isa|T072
T013|issue_in|T090
T013|issue_in|T091
T013|interacts_with|T194
T013|interacts_with|T204
T013|isa|T204
T014|isa|T001
T014|isa|T008
T014|isa|T010
T014|interacts_with|T015
T014|interacts_with|T016
T014|exhibits|T053
T014|exhibits|T054
T014|exhibits|T055
T014|isa|T071
T014|isa|T072
T014|issue_in|T090
T014|issue_in|T091
T014|interacts_with|T194
T014|interacts_with|T204
T014|isa|T204
T015|isa|T001
T015|isa|T008
T015|isa|T010
T015|interacts_with|T016
T015|exhibits|T053
T015|exhibits|T054
T015|exhibits|T055
T015|isa|T071
T015|isa|T072
T015|issue_in|T090
T015|issue_in|T091
T015|interacts_with|T194
T015|interacts_with|T204
T015|isa|T204
T016|isa|T001
T016|isa|T008
T016|isa|T010
T016|isa|T015
T016|exhibits|T053
T016|exhibits|T054
T016|exhibits|T055
T016|isa|T071
T016|isa|T072
T016|issue_in|T090
T016|issue_in|T091
T016|interacts_with|T194
T016|interacts_with|T204
T016|isa|T204
T017|part_of|T001
T017|part_of|T002
T017|part_of|T004
T017|location_of|T004
T017|part_of|T005
T017|location_of|T005
T017|part_of|T007
T017|location_of|T007
T017|part_of|T008
T017|part_of|T010
T017|part_of|T011
T017|part_of|T012
T017|part_of|T013
T017|part_of|T014
T017|part_of|T015
T017|part_of|T016
T017|isa|T071
T017|isa|T072
T017|issue_in|T090
T017|issue_in|T091
